COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808120472	"MAGA Giovanni"	"Quando la cellula perde il controllo"	"Capire il cancro per sconfiggerlo"		"Volume unico"	1430	224	", , 124x200, 2019"
9788808330253	"BERTONI Silvia-PISONI Cecilia-REGGIANI Loretta"	"Nel vivo della lingua"	"Grammatica, lessico e comunicazione"		"Idee per imparare"	1060	192	", , 195x265, 2017"
9788808521224	"BERTONI Silvia-PISONI Cecilia-REGGIANI Loretta"	"Nel vivo della lingua"	"Grammatica, lessico e comunicazione"		"Volume unico"	2330	648	", , 197x266, 2017"
9788808418500	"VANIN Marta-ZANIVAN Bruno"	Ypa!			"Confezione CD audio per la classe volume 3"	2000	0	", , 142x124, 2020"
9788808420572	"VANIN Marta-ZANIVAN Bruno"	Ypa!			"Volume 1"	1900	200	", , 210x285, 2020"
9788808476920	"VANIN Marta-ZANIVAN Bruno"	Ypa!			"Confezione 2 CD audio per la classe volumi 1 e 2"	3000	0	", , 140x125, 2020"
9788808505620	"VANIN Marta-ZANIVAN Bruno"	Ypa!			"Volume 3"	2290	272	", , 210x285, 2020"
9788808966360	"VANIN Marta-ZANIVAN Bruno"	Ypa!			"Volume 2"	1900	208	", , 210x285, 2020"
9788808265586	"TEDOLDI Alberto"	"ART. 702 bis-702 quater"	"Procedimento sommario di cognizione"		"Volume unico"	16260	880	", , 180x245, 2016"
9788808335012	"LEGNANI Silvia-MASTANTUONO Catia Franca-PERAGLIE Tiziana-SOCCIO Rita"	"Competenze Grafiche"	"Progettazione multimediale"		"Volume per il quinto anno"	2000	208	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2012"
9788808793157	"CIRILLI Dionisio-GUGLIELMI Francesco-PERTICI Nadine-ROSANO Sabrina"	"Tecnologia, progettazione, ambiente"			"Idee per Imparare"	1040	208	", , 197x265, 2017"
9788808821133	"CIRILLI Dionisio-GUGLIELMI Francesco-PERTICI Nadine-ROSANO Sabrina"	"Tecnologia, progettazione, ambiente"			"Confezione volume Corso di tecnologia + volume Corso di disegno"	2790	704	", , 230x285, 2017"
9788808321206	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe-VALITUTTI Maria Teresa"	"In cucina con la chimica"			"Volume unico"	2130	256	", , 197x266, 2015"
9788808153173	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Confezione 10 CD audio per la classe"	10400	0	", , 140x125, 2018"
9788808231093	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Confezione Volume A + Conocemos el mundo hispánico"	2790	320	", , 210x285, 2018"
9788808474834	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Confezione Volume 2 + Ponte a prueba"	2090	240	", , 210x285, 2018"
9788808494412	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Volume 3"	2090	184	", , 210x285, 2018"
9788808610997	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Idee per imparare"	1470	144	", , 210x285, 2018"
9788808708885	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Volume 1 Seguimos Juntos"	850	64	", , 170x240, 2018"
9788808728463	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Volume 2 Seguimos Juntos"	850	64	", , 170x240, 2018"
9788808820884	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Confezione Volume 1 +  Conocemos el mundo hispánico"	2070	232	", , 210x285, 2018"
9788808922281	"PÉREZ NAVARRO José-POLETTINI Carla"	Juntos		"seconda edizione di ¡Acción!"	"Confezione Volume B + Ponte a prueba"	2830	328	", , 210x290, 2018"
9788808181688	"BERGAMINI Ettore-LOWE James-SCOTT Ian-STEVENS Alan"	Patologia		"Terza edizione"	"Volume unico"	8700	644	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 220x285, 2009"
9788808087317	"GALLIERA Maurizio-GALLONE Luigi"	Chirurgia	"VII edizione - Opera in due volumi"	"Settima edizione"	"Volume unico"	29450	2528	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 210x275, 2005"
9788808474384	"BAROZZI Graziella-BERGAMINI Massimo"	"Lineamenti di matematica.azzurro"			"Volume 1 con Tutor"	2850	592	", , 197x266, 2021"
9788808942739	"BAROZZI Graziella-BERGAMINI Massimo"	"Lineamenti di matematica.azzurro"			"Volume 2 con Tutor"	2790	424	", , 197x266, 2021"
9788808065070	"CUOMO ULLOA Francesca"	"ART. 306-310"	"Estinzione del processo"		"Volume unico"	8190	432	", , 180x245, 2016"
9788808186461	"GATTINONI Paola-LONGONI Laura-PAPINI Monica-SCESI Laura"	"Geologia tecnica"			"Volume unico"	5550	512	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 194x270, 2015"
